province,score,s41,province_en,l14d,l2409
上海,21.4,1,Shanghai,2.5,5.726776
云南,11.520625,2,Yunnan,3.514851,7.108911
内蒙古,21.080833,3,Inner Mongolia,3,3.607143
北京,18.6,4,Beijing,2.358382,5.936416
吉林,19.92,5,Jilin,2.902439,6.371951
四川,10.035714,6,Sichuan,3.273743,7.061798
天津,23.63,7,Tianjin,2.466667,6.067797
宁夏,17.93,8,Ningxia,2.888889,5.518519
安徽,16.9775,9,Anhui,3.412698,7.325397
山东,21.858824,10,Shandong,3.184211,7.375
山西,23.31,11,Shanxi,2.427083,7.21875
广东,18.218095,12,Guangdong,2.5,6.280423
广西,13.372143,13,Guangxi,3.557377,7.327869
新疆,11.363889,14,Xinjiang,2.555556,2.555556
江苏,18.369231,15,Jiangsu,2.468354,6.762821
江西,10.948182,16,Jiangxi,3.660606,6.914634
河北,23.132727,17,Hebei,3.098901,7.131868
河南,16.965556,18,Henan,2.56051,5.503185
浙江,12.918182,19,Zhejiang,2.912821,5.857143
海南,22.8815,20,Hainan,2.034483,6.896552
湖北,14.098824,21,Hubei,3.538462,6.861244
湖南,9.966429,22,Hunan,2.954545,6.588235
甘肃,12.15,23,Gansu,2.557692,2.826923
福建,12.234444,24,Fujian,2.940594,7.267327
西藏,7.845714,25,Tibet,1.944444,8
贵州,9.445556,26,Guizhou,2.910112,6.707865
辽宁,21.995714,27,Liaoning,2.310924,6.478992
重庆,13.84,28,Chongqing,3.393258,6.966292
陕西,16.844,29,Shaanxi,3.833333,6.449153
青海,6.90125,30,Qinghai,2.076923,3.076923
黑龙江,20.29,31,Heilongjiang,2.846512,6.40566
