s41,1,2,3,4,5,8,avg
1,30.9,40.9,14.4,3.9,0,9.9,1.715
2,10,37,26,7,1,19,1.95
3,3.6,32.1,35.7,17.9,10.7,0,3
4,27.7,38.7,23.1,4.6,1.2,4.6,1.988
5,18.9,39.6,24.4,3,1.8,12.2,1.923
6,10.7,33.7,29.2,10.1,2.8,13.5,2.201
7,20.2,54.6,15.1,2.5,0,7.6,1.847
8,3.7,33.3,48.1,11.1,0,3.7,2.59
9,14.3,32.5,25.4,7.9,1.6,18.3,1.951
10,11.8,37.5,25.7,9.9,2,13.2,2.135
11,15.6,54.2,22.9,2.1,0,5.2,2.011
12,14.7,44.7,29.5,7.4,0.5,3.2,2.247
13,6.6,36.1,32,4.9,0.8,19.7,1.984
14,33.3,22.2,27.8,5.6,5.6,5.6,2.115
15,19,44.9,24.1,7.6,0,4.4,2.115
16,6.1,35.2,29.1,7.9,1.2,20.6,2.014
17,13.3,40,23.3,8.9,1.1,13.3,2.043
18,15.3,47.8,18.5,12.1,3.2,3.2,2.308
19,21.5,42.6,16.4,5.1,0,14.4,1.763
20,27.6,41.4,31,0,0,0,2.034
21,6.8,30.9,36.7,7.2,0,18.4,2.075
22,11.7,36.4,34.4,7.1,1.3,9.1,2.226
23,11.5,42.3,26.9,17.3,1.9,0,2.555
24,16.8,34.7,29.7,7.9,0,10.9,2.069
25,5.9,88.2,5.9,0,0,0,2
26,16.9,40.4,23.6,6.7,1.1,11.2,2.008
27,22.7,33.6,40.3,1.7,0,1.7,2.176
28,5.7,33,37.5,6.8,2.3,14.8,2.229
29,3.3,31.7,30.8,11.7,0.8,21.7,2.099
30,26.9,42.3,26.9,3.8,0,0,2.074
31,19.6,36.9,26.6,5.6,0,11.2,1.956
